שם פוליסה,מספר פוליסה,רכב,שם כלי / כינוי (from רכב),סוג נכס (from רכב),סוג כיסוי,חברת ביטוח,פקיעת פוליסה,מחיר פוליסה הכולל,מספר תשלומים,סכום חיוב חודשי,אופן תשלום,יום החיוב בחודש (from אופן תשלום),תאריך חיוב ראשון,סכום חיוב בפועל,הערות,סטטוס פוליסה,תשלומים נוצרו?,תשלומי ביטוח,כלי עבודה,מסמך פוליסה
220227 | מחפר זעיר ליגונג | צד ג,63003826525,220227,מחפר זעיר ליגונג,"""צמ""""ה""",צד ג,מגדל,30/11/2026,₪5380,1,5380,העברה בנקאית,,23/11/2025,,2 כלים 220226 ,פעילה,,,,צד ג כלים 11.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/410uMPqNLPQuxNbsCk2_7A/B3W5WloxfXPDNxGoTfRhV8pQN5zJ0DiCeNqX6mNvvtQdIlYjAcvGXFrKe3ejynMDwb9Re1-PgtEzycVK91QYZ7vJqWtWzwSpy8sQ113uytJTOHKUWLteR1acs9Kcgv2wx2YjHNTzkDT0lH5xSuPVbQ/qSl76sYW9InRA0Kzlzvhz8CPNE_oVrXCOBJfM6mpCGM)
220293 | מקלק | מקיף,63003657725,220293,מקלק,"""צמ""""ה""",מקיף,מגדל,31/5/2026,₪1012,1,1012,העברה בנקאית,,28/8/2025,,החלפה עם מקלק שנמכר ,פעילה,,,,"220293 כלי חדש - מקיף כולל שעבוד.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/qmNMVFgr1M1AtkO2K9A3cQ/yWzIyiiEGj84FfQvZHtRNd8tHAAoWsOP3JQJEwNwIJQL15aOBmP5MThDomXGUx6CGEJFcyWnFrdok5BIo6KO0nNH_NX_Xfxahz76KqcmQVzhcoMk_Y2D0h_9Xs-bDxrvd5PBqaCidGrImfA4ky5ScZrWGiDAJGUPS2Y6YBmqs_U/JLOiRzmqUMYOr9utm78UVzE9JI6cwYjbjbPszZ_XAT0),העברה לחשבונות אחרי 28-08-2025 תוספת ביטוח מקלק.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/8oa7uRxhQ28f9_OfV4HAVA/m12Qu8VMsnM1afTZrjTzMIj-cWm-PMINyvc8XuxuBsfe-qUn_JqwsjSGOmYkjCAv2trqVInSufsfMpVWpM5s0ewJYi5E8XpJIcjUuOkS1d12dbbV5gmdwKBUtg8qqH-MMQyZpbVbHQNkSY-5qtbthsKkTPPrSL8RFHSYUGSHbRw/3HC9TzzCZqtTmUme7mVpV8NrSF2rPBhU1OKRUsaPCQs)"
220314 | באגר 30 טון | מקיף ,63003401825,220314,באגר 30 טון,"""צמ""""ה""",מקיף ,מגדל ,30/6/2026,₪14563,3,4854,העברה בנקאית,,26/6/2025,₪2000.00,,פעילה,,,,מקיף 6.26-1.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/XbyRYdW6IfV0Iq_kv0UbSw/kwp7f99ccRBlg_nQyPzjMtsJl0gqcgEZkFEnR_7RrIjDaRsTcBWLccJkKdvSyo2A0z1n6oFV6sguda62bkWUYDK1mu4NB6ApwOkk1nWwWzQUnANl1BK40na9I9WyGoZM-kvFlxi-QO2X83Yg7SeeLeKYhVJpAOuS5hOLyKroQXM/jSXmkw7aZHIan0pl5t0sGTPwNcAGqVV4IvXQ7gwKPYc)
244046 | שופל  | חובה,863004248326,244046,שופל ,"""צמ""""ה""",חובה,מגדל ,31/1/2027,₪3384,1,3384,אשראי | 5237,15,15/2/2026,,,פעילה,,,,
244046 | שופל  | מקיף,63004248326,244046,שופל ,"""צמ""""ה""",מקיף,מגדל,31/12/2026,₪8091,1,8091,העברה בנקאית,,12/2/2026,,,פעילה,,,,1.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/ohwEBRbYGzCDgOcZnAox0Q/ifh-NwqL6DxvYrpOP25n1k_xxq7vRXP4dfxmFl2j_ij1Ddl-JGsFbzcUPTER__6afya9z6dpUk6q1wFMaMGZOxzneHP8GXz7W5pwQ0jhzr2bAbQT6P8Z3xr132Gv_Y7oMhxlJUxyTLDBZLA5zrLqWg/m4Z_P-7fxDN-b2uPIY3RlDMbOudoncE9xtH80etnJ68)
508495 | קלנועית ימהה | חובה,,508495,קלנועית ימהה,כלי תפעולי,חובה,הראל ,,₪509,1,509,אשראי | 5237,15,1/7/2025,,,,,,,
508495 | קלנועית ימהה | חובה + צד ג',,508495,קלנועית ימהה,כלי תפעולי,חובה + צד ג',הראל ,,₪1400,1,1400,העברה בנקאית,,1/6/2025,,,,,,,
1326279 | עגלה לגנרטור | חובה,103212150226,1326279,עגלה לגנרטור,נגרר,חובה,הראל ,31/1/2027,₪378,1,378,אשראי | 9653,2,2/3/2026,,,פעילה,,,,
1326279 | עגלה לגנרטור | צד ג,103212150226,1326279,עגלה לגנרטור,נגרר,צד ג,הראל,31/1/2027,₪827,2,414,אשראי | 9653,2,2/3/2026,,,פעילה,,,,צד ג נגרר 1326279.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/i1PGFytIWm4fBQ2Ai0L1dQ/B-Z2UjOTVENsvnuvnEZ7A08zTRTJvgcoarULNY0545EFd_Xrlb_pJV4vGE6WUuR50RDZAYGhJmUeZsXAZMRmL5VTKlpVocZDdKijyH4esLQqemX22o5WgtucaFGgtgyj8ysdUj6Iktk0ipVV_phqnk54OKFJTrjbo0imuODJA3Q/UMfYbYpYlMRysQZDKXZ4XgRhbKKQGliVui-wIsj6Swo)
2221271 | רנגר פולאריס | חובה,,2221271,רנגר פולאריס,כלי תפעולי,חובה,כלל ,30/6/2026,₪5185,3,1728,אשראי | 9653,2,1/2/2025,,,,,,,
5262239 | נגרר פתוח | חובה,,5262239,נגרר פתוח,נגרר,חובה,הראל ,30/11/2026,₪386,1,386,אשראי | 5237,15,1/12/2024,,,פעילה,,,,
5262239 | נגרר פתוח | צד ג,,5262239,נגרר פתוח,נגרר,צד ג,הכשרה ,30/11/2026,₪585,1,585,אשראי | 5237,15,1/12/2024,,,,,,,
6288024 | נגרר אופיר | חובה,,6288024,נגרר אופיר,נגרר,חובה,הראל ,31/1/2026,₪383,1,383,אשראי | 5237,15,1/2/2025,,,הסתיימה,,,,
6288024 | נגרר אופיר | חובה,103211632726,6288024,נגרר אופיר,נגרר,חובה,הראל,31/1/2027,₪388,1,388,אשראי | 5237,15,15/2/2026,,,פעילה,,,,חובה נגרר  הצוות 6288024.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/J2DNajlP7t7y87zYpNjKlA/0-zvqMcnZ8n-RP2T2mVDhrefGuzlk0un89ZBWIS4aMr-fhVwBdtT-shejxdX3IdCDRyLV8SLMo1ViZTOMJVI2g22T99qDrKS7vf0RgxpAWcl6oAjECqQV7aQ0_aKLesI7o-m2epYT5I8cCPIUS3R0ewj0C7QEupgtfbSEv9rtfE/V2Dcj1_clNGsZdjluKPYL37IgPoR66hjGQrsbja30bo)
6288024 | נגרר אופיר | צד ג,8070759826,6288024,נגרר אופיר,נגרר,צד ג,הכשרה,31/1/2027,₪585,1,585,אשראי | 5237,15,15/2/2026,,,פעילה,,,,צד ג צוות תשתיות נגרר 6288024.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/N6oHyr9UQlcz-ZfLr2N4eA/VKoSbxkG3LClDL-N10O3Wn-jjoDdmXSGJ-MBjNESNi59pR9kBKkARU8k3YI0D7NmWR8D42u0SC_nYr2Kw4LQd645_Vm4lCSequN3m6iIQjsW7UNiyUvoeuW5ERdtK8S44UpDZG24JoTd6uHnmKaZFE_rlmCfcrvHYxjQm8qyc1w/CTNDv0KMST2TyWF6RQj9QAt3kub734FtreStmB9WLEE)
9008861 | נגרר וינגולד | חובה,103210816825,9008861,נגרר וינגולד,נגרר,חובה,הראל ,31/8/2026,₪386,1,386,אשראי | 5237,15,15/9/2025,₪386.00,,פעילה,,,,
9008861 | נגרר וינגולד | צד ג,103210816825,9008861,נגרר וינגולד,נגרר,צד ג,הראל ,31/8/2026,₪850,1,850,אשראי | 5237,15,15/9/2025,,,פעילה,,,,
9305775 | נגרר אבו מוך | חובה,,9305775,נגרר אבו מוך,נגרר,חובה,הראל ,31/7/2026,₪386,1,386,אשראי | 9653,2,1/8/2025,,,פעילה,,,,
9305775 | נגרר אבו מוך | חובה + צד ג',,9305775,נגרר אבו מוך,נגרר,חובה + צד ג',הראל ,31/7/2026,₪600,1,600,אשראי | 9653,2,1/8/2025,,,,,,,
9867361 | נגרר פתוח | חובה,434205816253,9867361,נגרר פתוח,נגרר,חובה,מנורה ,31/8/2026,₪569,1,569,אשראי | 5237,15,1/9/2025,,,פעילה,,,,
9867361 | נגרר פתוח | מקיף ,434205816253,9867361,נגרר פתוח,נגרר,מקיף ,מנורה ,31/8/2026,₪2201,1,2201,אשראי | 5237,15,15/9/2025,,,פעילה,,,,
18898601 | דציה כחול | חובה,,18898601,דציה כחול,מכונית,חובה,מגדל ,28/2/2026,₪1714,2,857,אשראי | 9653,2,1/3/2025,,,,,,,
19075504 | איווקו | חובה,,19075504,איווקו,משאית,חובה,הכשרה ,31/12/2025,₪4242,1,4242,אשראי | 9653,2,1/1/2025,,,הסתיימה,,,,
19075504 | איווקו | חובה + מקיף,,19075504,איווקו,משאית,חובה + מקיף,הכשרה ,31/12/2025,₪4800,3,1600,אשראי | 9653,2,1/1/2025,,,,,,,
19075504 | איווקו | מקיף,8065604326,19075504,איווקו,משאית,מקיף,הכשרה,31/12/2026,₪6307,,Infinity,,,,,בוצעה החלפה להבין מה ההפרשים ,פעילה,,,,מקיף צוות תשתיות 12.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/rF9heKVImpqDieV7Q7jbbw/sDPn8Yi0J2qOEbXgt46sp6Yxmn8Xs4vj1w2FvbvMsdw3u71YMDwXTczJspi7Al2vw3-OqKJ2mjecV3dbCq0HSgm2JYxXjv-lhr1TdBMwHLKh4tLuSCETbkVJKCn_iO0sR1mP-djgtg81_j_3OcJJMg/t8WihNz8IMl1nUb1Y-Bdxwn4-trrPa6_hARpW4KXu6g)
19075504 | איווקו | חובה,8065604326,19075504,איווקו,משאית,חובה,הכשרה,31/12/2026,₪4242,,Infinity,,,,,בוצעה החלפה להבין מה היה,פעילה,,,,חובה צוות תשתיות 12.23 19075504.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/aVBTVM74M5mmrJe0juhvyQ/a1XahWDv_sCiv_5qDqngU1FzN52Ox-dej-dt0Pz_eYX5di8qTe3ZrHWXUcICkFWWiVrYqvC4_KHpWKpLdihHgsVzQjN8gJxNaVI_bzhGOv7KwmkGkx3abiHjpdy7y8yzLx2nIu5FHeQ1iBty5kIuoNgZYxtSNPUHm6-OAi6CEL8/UuDlqRWWI9O_EvBnI1MfshTxpLdeeWu7fv8kNJ2QWok)
21834403 | טיוטה לנד קרוזר | חובה,,21834403,טיוטה לנד קרוזר,מכונית,חובה,ביטוח ישיר,30/9/2026,₪1612,4,403,אשראי | 5237,15,1/10/2025,,,,,,,
21834403 | טיוטה לנד קרוזר | חובה + מקיף,,21834403,טיוטה לנד קרוזר,מכונית,חובה + מקיף,ביטוח ישיר,30/9/2026,₪8856,4,2214,אשראי | 5237,15,1/10/2025,,,,,,,
24360402 | נגרר מרכבי מנוע | חובה,,24360402,נגרר מרכבי מנוע,נגרר,חובה,הראל ,31/5/2026,₪379,1,379,אשראי | 9653,2,1/6/2025,,,פעילה,,,,
24360402 | נגרר מרכבי מנוע | חובה + צד ג',,24360402,נגרר מרכבי מנוע,נגרר,חובה + צד ג',הראל ,31/5/2026,₪600,1,600,אשראי | 9653,2,1/6/2025,,,,,,,
24509503 | פורד טרנזיט | חובה,,24509503,פורד טרנזיט,מכונית,חובה,מגדל ,31/12/2026,₪1990,,Infinity,,,1/3/2025,,חסר מספר תשלומים וסוג תשלום,,,,,
25972904 | סילברדו | חובה,,25972904,סילברדו,מכונית,חובה,הכשרה ,31/3/2026,₪4471,3,1490,אשראי | 5237,15,1/4/2025,,,,,,,
25972904 | סילברדו | חובה + מקיף,,25972904,סילברדו,מכונית,חובה + מקיף,הכשרה ,31/3/2026,₪12633,10,1263,אשראי | 5237,15,1/5/2025,,,,,,,
26788202 | נגרר סגור | חובה,,26788202,נגרר סגור,נגרר,חובה,הראל ,31/7/2026,₪386,1,386,אשראי | 9653,2,1/8/2025,,,,,,,
26788202 | נגרר סגור | חובה + צד ג',,26788202,נגרר סגור,נגרר,חובה + צד ג',הראל ,31/7/2026,₪600,1,600,אשראי | 9653,2,1/8/2025,,,,,,,
39374804 | איווקו רן | חובה,,39374804,איווקו רן,משאית,חובה,הכשרה ,31/3/2026,₪404,,Infinity,,,1/12/2025,,חסר מספר תשלומים וסוג תשלום,פעילה,,,,
44852502 | נגרר דניה | חובה + צד ג',,44852502,נגרר דניה,נגרר,חובה + צד ג',הכשרה ,31/1/2026,₪585,1,585,אשראי | 9653,2,1/2/2025,,,הסתיימה,,,,
44852502 | נגרר דניה | חובה,103110879226,44852502,נגרר דניה,נגרר,חובה,הראל,31/1/2027,₪388,1,388,אשראי | 5237,15,15/2/2026,,,פעילה,,,,44852502 חובה נגרר צוות.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/4F3bNktAMVb_KZjrJpXxBg/xb2yPexwXJU9_j44mdkCyUn6wB4C3y_O-AZ0-BRgShjL8DkBZvBd2vajHjmcpeFmR7sxn5boNdlabNGUTWsTVTy49ln-yQYW1BZ3EdC0AziEfwGfQQBec27fN7vh9s6eN_JBCBNojfsZSMy4E6G7wXCfEJoVvCthmpqg-V4g66k/YLgyxP7HZ0J6c__k8LZg-bF6qC64ohsO1JGaqBR9l2Y)
44852502 | נגרר דניה | צד ג,8058636026,44852502,נגרר דניה,נגרר,צד ג,הכשרה,31/1/2027,₪585,1,585,אשראי | 5237,15,15/2/2026,,,פעילה,,,,צד ג צוות תשתיות 44852502.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/HrIqXFYc3KPVBdsVY0FKOA/hxrPFzzn9cet8EUr8gzhCclncDiDWZUFW7yQswkTbrVeB4W9Cbb2CUEGvz_K52KvUeLhqMFfGfFw9thuJCgKC9loEHfAJWoYYYXD3TYwblQ7vhIC1XP__X5owY8Ig3eYqAhg-t-GcI-9lhEGvPkfYCVk66eY29MadNkREQCbTcw/UhkW7WepRAS9bHwzDweD855Mg0qOhuSQC4YkPeN0SEs)
59150803 | דצ'יה דסטאר | חובה,,59150803,דצ'יה דסטאר,מכונית,חובה,הפניקס ,31/10/2026,₪2236,1,2236,אשראי | 5237,15,1/11/2024,,,פעילה,,,,
59150803 | דצ'יה דסטאר | חובה + מקיף,,59150803,דצ'יה דסטאר,מכונית,חובה + מקיף,הפניקס ,31/10/2025,₪3624,2,1812,אשראי | 5237,15,1/11/2024,,,,,,,
61297303 | פורד אמריקה | חובה,125008473025,61297303,פורד אמריקה,מכונית,חובה,מגדל ,31/7/2026,₪3477,1,3477,אשראי | 9653,2,1/7/2025,,,פעילה,,,,חובה פורד 62197303.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/1XcRGEqy5G_MI9TSRlRQrQ/cMBzO0o_g7-V7KgRKhCQwflB7MG20Gi5rfRuupopEeI9yjhDwJXuyQAgm44iOSr_sqPVxTeQcmzQE1GbN-8EBG3ytlFodnUvjHlkOMNToACA9dSunbAMT8b1jThThvLzpwfmKYbfj3rPvkGVIby6D1Hfumzby0jVvXsFEnWg8oo/hi8Zg2q9yhLktuL6QLh6cA3Xld_tZ10eA3b2kxpt5fM)
61297303 | פורד אמריקה | מקיף,125008473025,61297303,פורד אמריקה,מכונית,מקיף,מגדל,31/7/2026,₪10849,,Infinity,"""הו""""ק""",,10/8/2025,₪3756.50,,פעילה,,,,מקיףפורד אמריקה 61297303.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/q3k5dbsoRGqMRbRycOThKA/QsHBcE0JWHrKQz4s2k5I3NkAQaR-ItJTJI0xOfg4L4gNaUmJvlsRYEIalmPLV3b-HZJ6lI6bYKOKNX634nB8hYFD--LiZY-LS8UOF15_-alm-yRwctj47MczGAkGtKclNYUJ-WWmAoZgPVGZT_U1zUVHXUL0-TEFGCuvvpt77Ss/G32J-EuYs4s-l3HosAIjLhOqE0y-AAjCP2IPPpLraTY)
70175402 | משאית פורד + מנוף | חובה,132101225326,70175402,משאית פורד + מנוף,משאית,חובה,הראל ,31/12/2026,₪12724,1,12724,אשראי | 9653,2,1/1/2025,,,פעילה,,,,חובה 12.26-6.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/3YqNkTMN4wHfRlWy9DXgsw/HyJEFfyr4n_-Knf0Cpj-MKZE6VlDrMWHGbZrOOwMueWmRHm1bs2FHTcTmPQrD27GkfC6PCYz5BP-k0A5g3Okuw0uEgQQQf_r8gRbJ1L8I7vDaik1a8iFc3daKSP5OxfLiSsKR7t4IVIAlaZUxjdSHuQUQbLaTNG--ydLkJVg8qM/1RNc8fYwZrEUaWDat_jXbAlm4loNUaJ2A7iW8V4T8L8)
70175402 | משאית פורד + מנוף | מקיף ,4,70175402,משאית פורד + מנוף,משאית,מקיף ,מנורה,31/12/2026,₪19568,2,9784,"""הו""""ק""",,10/1/2026,₪9784.00,,פעילה,,,,מקיף 12.26-3.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/t-Lgxbzpc7-6Y7QnAI4dWA/vBD3sucq3Ah7CyUw_C-DbhAvwPeapLguRNtvQr9HMhoYwtMhk8HxVfjyOELfphLWp1ZVxDH2nNGN76HhQqDdpoDdcqQ3sCE2pH23eT3RJdXNzUFk6j4tkxKUB3CNRKMn24bDG-yaIf6pMepcZ4A8SKTXR_Wm3wzX8ibVo-APays/3tEkoegFrdrlLCOH3yVyHxZaIXC0miWHgyItI0mDhIc)
70175402 | משאית פורד + מנוף | אחר,4,70175402,משאית פורד + מנוף,משאית,אחר,מנורה,31/12/2026,₪8540,,Infinity,,,,,מקיף למנוף ,פעילה,,,,מנוף 12.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/TjiRrfrSv6sYhC1wHIYIPQ/7MH863gkVhYhb76Bx6fopHkwt_0jZTwC9X7ONxzEQ1eol2vS30rJWnvAmthz3G1KVfDdQ9LvC38kceiJ-U5QGN_t--9rYL9WfnPAbXrNoevGMnJi3Wf0LXW42LKb_pjH24N30WqZ-odKG4kFJKFmEA/xl7tZWgBrSdPO4mkJotoZQYm03ThvYSreKx6J169VSU)
70175402 | משאית פורד + מנוף | אחר,,70175402,משאית פורד + מנוף,משאית,אחר,,31/12/2026,₪800,1,800,אשראי | 5237,15,2/1/2026,₪800.00,גרירה ושמשות סטארט קופל ,פעילה,,,,גרירה שמשות 12.26 סטארט.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/zMlniIbyZFUHwQO_Zs-IgQ/XbG8WyXL-pc2mhROF8K_zVWXZPrnAEMky2dGQRFWk0nLhqYbocd_bV0ePWA6_fD_HTxl4GJixakbbifgI-NyD8XgviTzhhdKmlink9oCkBqfrYKaccSkwOH1zJhSESmxXYYNfansNDT61SKetTUhZQ/U2atkkT9RP8_cmhoM99XEXmG6rA2wCmAuO_SAeiy89g)
