שם בדיקה,רכב,סוג בדיקה,מספר בדיקה,תת סוג בדיקה,תאריך בדיקה,תאריך בדיקה הבאה,גורם בודק,מסמך בדיקה,הערות,מחיר בדיקה
טסט | 20/11/2025,37387204,טסט,,,20/11/2025,17/11/2026,,רישיון רכב 37387204 17.11.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/4Ycv-NZN9lV0Ob16_zGEKg/3E5Jw4otHHG80VnvWwaiy2AY-oJjEoH_Aw_lLffxwxSXlfwcReOFdHZNQ264MK_X59Awbs3cAqXkm2RKHIAq96n86J1oJ3LY1k5XjpLd0KD_7AiNtme3GrCOXG8JLOWb8RaM5DgbqbG3IPrHDIGEVEeS1YRvg0eZoox-kgKghi0/Vaq3Ja43XEnC4EoT392te60dpVZPe0N-Ekux77WNupg),,
טסט | 07/11/2025,59150803,טסט,,,7/11/2025,18/11/2026,,רישיון רכב 59150803 18.11.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/xSpR5SfcM9dkgsLZqnGS0g/HZOq89YmH-MNreSmLseY-4f9b86CIny8e3cVz4bS2VhaipFsIEciPtGQrrsBwQ1hUav_QemD7pAmQ9KXUyFJkNmZIziFV80FCy2UnGFrxqbqUVIsTqN619eKLTh9QuUExMYGTfDknL6Et1TN4vtqs1PC9THkHImUk5_o56TtoEo/c_6zojQ2fcPhtfxp-hNssCulv1uhMxDlHyONewkdH9A),פטור עד שנת 2027,
טסט | 08/02/2026,1326279,טסט,,,8/2/2026,23/6/2026,רישוי השרון,"רישיון 1326279.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/5C0yp_fKbk_Eg-7_h0PM-A/9nqVEVvoIza-VGLsCNT6MqT9h0-9zbOgj1eq47B-x9yb8fXgBfnZgGvjEvDKC3MaHcuIzcpdtrcxnSFY58ajzVKWPc4xoznY69JGJffB-8U27vWrgyqRyhZxuQh5n52jyHK8P4-KZ25LaKSsQx2R3Glw_HxpBVdMJ3etzcUL2ig/UeiQO6yHFjkAkAHb4mQpjH5sgQPeuO_imIaD595aoFo),1326279 נגרר גנרטור חותמת טסט.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/ZSAEqWoqGXOoTfXptxLZ0Q/OKKtJkDOqRjCat_O7hOPU6rwACb2WInvgh5CUEvDxm5-SEqiMZaQjFBwFeI5gV2spgiMYyPElFmCPEmguazVK9W3kPC8HsvXd8FVKjdLQrHy5mZQWOZUhdBxBMQEwTlX7dhh5fjgpmumma_uV-RCBBA-NOAyd33k8vcKdB6yZs8/Gt0uwIbftlt6LweI2NO5wUobqaG7XcifXP8fTzBzQoQ)",,
טסט | 02/02/2026,44852502,טסט,,,2/2/2026,2/2/2027,,רישיון גרור פתוח 44852502.pdf 02.27.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/-m_lMlLESk2hXbEL_of9Ow/I8_FHm3_tcQYSGCe6uy4KgnhwCoCRSsWfUCgBxFd2V7wb06bPWxmQ1FKVVDO1Bu6Pp34KJzD4FJyw4uL0QNHM4FefOkICncQ8cn2TIyKrdDdJzOnRRY1lwLNBnW7o0gMFUxGh_R4KLEYA04JzXTKujklekIh5ISCHgZDgYGtVsk/m9Q3f2IWCAgU29tvGUcJbhkdvUEmOmTeTZWkQfwma84),,
טסט | 18/06/2025,9867361,טסט,,,18/6/2025,18/6/2026,,רישיון גרור 9867361 18.06.26.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/KCbjFwGJPQudWpTzEqzlYw/jybJd1RAECu8iwYDmopYQMNUF2A-iAs5m7YYt7Ljrzd5fjpyYz_tjsHdIEriE9Z-ws46EqRK0e2adKicDvaUZpLAWV0fo_---8MVV2e9Kd7hJ2r0OmCqhDPvTDKDhbIQHN6a5TLpUcmnufKCHgaoEj13sE56XQuSOS_yW9sSHf4/svneA90ifvUC3clKB54lCjefu7N54PTPgc3i5UmBEgM),,
טסט | 28/08/2025,9008861,טסט,,,28/8/2025,28/8/2026,,רישיון וינגולד 2026 9008861.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/fnFEBQn9TrE64QwAMW772g/ViUATF80SoWByr-qsbMTcOEqAUAxqd8ApLEwmNWz0WAPeFcuQbxiy-Hc29hJFdcDNcJUth9wxBPP9b-N8JF4eSqq9r5MPj0Svbp2Wz_Gk9ltoc0tk_zP11i6pWuiUA9KtgMD_CrSUy6DQQDG0edk6xE_ZVdQs-gfDPtOobJTbiI/9JyV5IJFURMYoNuy1eVY6Rjgc_uZwkV65xBa0BXzrbU),,
טסט | 15/09/2025,206602,טסט,,,15/9/2025,22/9/2026,מוסך גניגר ,רישיון + אישור.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/0NNq46rHI6wVneR8lRu29A/YTMqGXpXpuEKnxtzM3f_ZH1--FbFojPF2mgm6QElIYolSLL-jbktS_JFuci0rJgZfAjxM1aUhr1sQdmiTUJfxQdecUvrjMJMEFXeQDM4XM85xE8vxzlpUsQLRP5QqrpoqlhBiVTecxKgHZa_kl-6gA/7zSfpCSVWh7kpwQxe2OsUgB-_qoDISpDShyLddcfecI),,
טסט | 10/11/2025,220227,טסט,,,10/11/2025,30/11/2026,מוסך גניגר ,220227 הצוות רישיון.pdf (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/WZc2-NoxhcBUuliX9YwQoA/yeOJ5KONTmtJCtPa_4_RkKENTT2qGAnBGY1kuplPOpJIAA8vTaTCrQ5Dg6ar6IfwZLg1T666Nt7T9uGGS5JplX0HHP_iQ0EMlCXoClXMrKA65nDUa6Lf22CoUHQSfPV3n7h-OHPI_Z7k72Zir0AkyahkxarM4gMfdzFF0ZtORA4/RKXBWlGA8QMVMK2Xqb9xGakIbL972_se-s8rwBOfYTo),,
טסט | 24/08/2025,220293,טסט,,,24/8/2025,24/8/2026,,רישיון מקלק חדש 220293.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/nJcZtNcZIV-y1vgnZTE_ZA/S4iXF8vWNLxBevSeAz8dRu4_1dhd9-1tpRC5MiJeRySdZaVt1BfUAJLQ9o0vKNYn9EKc9ylvAk0L6Ebr92ffH3id_BpoynoKCUsNN6EtlVScjLfBWghjQ8Xakomzwpdu5-gN6LwA3rV8l45CGdV6roKjlfNIfCjZJkAVgnIrAzU/lh8w8SqawnDyKCSf8gpy2SHOEhYWykJR4kBiWw9b0LY),,
טסט | 27/01/2026,244046,טסט,,,27/1/2026,21/1/2027,מוסך גלבוע ,רישיון שופל וולו 244046.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771675200000/5mEVPlxwJzIEu5ZzP4Aeeg/neEHTfyKOQRH00JGbSX30caSelD-rJoRtqjLAslLAXqsudlRil0sjg3onka9b7P0aIADrXoetcIKeiTiVicz93QVbQt1eA0gxbLrRiurIV2phbqdaxAqGiZV0_Wsj4HT3lpLL9_8kuOsk267x-AbiuUTzGGWXYZDCewd5j4fko8/XmL8t2uVJ7NPOWPwH4bbaR4uwIP0EsujcHIAhVA4W9k),,
